Brand,Model,Selling_Price,Original_MRP,Discount_Percentage,Customer_Rating,Availability,Specifications,Image_Source
Lenovo,Lenovo IdeaPad Flex 5 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 2 in 1 L...,97890,97890,0,4,Available,AMD Ryzen 7 Octa Core Processor | 16 GB LPDDR4X RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Touchscreen Display | 1 Year Onsite Premium Support with 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo Yoga 7 13th Gen 1340P WUXGA OLED Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Ho...,111690,111690,0,4.4,Available,Intel Core i5 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Touchscreen Display | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo IdeaPad Slim 3 Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) 15Q8X10 Thin and Light Laptop,54990,82890,33,3.8,Available,Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 38.86 cm (15.3 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo Yoga 7 WUXGA-OLED Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 14IRL8 2 in...,123090,123090,0,0,Available,Intel Core i5 Processor (13th Gen) | 16 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Touchscreen Display | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen 5 Thin and Light Lap...,39990,85371,53,4.1,Available,AMD Ryzen 3 Quad Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo V15 G2 Intel Core i3 11th Gen 1115G4 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) V15 ITL G2 Th...,40900,60120,31,4.2,Available,Intel Core i3 Processor (11th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Operating System | 1 TB HDD|256 GB SSD | 39.62 cm (15.6 Inch) Display | No | 1 Year Onsite Warranty + 1 Year Accidental Damage Protection Add On,No Image Link
Lenovo,Lenovo V15 Intel Core i3 11th Gen 1115G4 - (4 GB/256 GB SSD/Windows 10 Home) V15 ITL G2 Thin and Light...,36990,51544,28,4.3,Available,Intel Core i3 Processor (11th Gen) | 4 GB DDR4 RAM | 64 bit Windows 10 Operating System | 256 GB SSD | 38.1 cm (15 Inch) Display | Microsoft Office Home & Student 2019 | 1 Year Onsite Warranty,No Image Link
Lenovo,Lenovo ThinkBook 15 G5 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G...,41990,84600,50,4.2,Available,AMD Ryzen 7 Octa Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite warranty,No Image Link
Lenovo,Lenovo IdeaPad 1 Intel Celeron Dual Core N4020 - (4 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin and Lig...,20990,33190,36,4,Available,Intel Celeron Dual Core Processor | 4 GB DDR4 RAM | Windows 11 Operating System | 256 GB SSD | 35.56 cm (14 Inch) Display | 1 Yr. Onsite + 1 Yr. Accidental Damage Protection,No Image Link
Lenovo,Lenovo LOQ Intel Core i7 13th Gen 13650HX - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,108190,139290,22,4.3,Available,Intel Core i7 Processor (13th Gen) | 24 GB DDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,No Image Link
Lenovo,Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,71990,108990,33,4.5,Available,AMD Ryzen 7 Octa Core Processor | 24 GB DDR5 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1Yr Warranty and 1 Yr Accidental Damage Protection,No Image Link
